country,bids_count,frequent_words,word_count,unique_word_count,lexical_diversity,average_rating
India,158017,please:74125;check:71260;pmb:50436;work:48630;project:47525;thanks:42885;details:38072;experience:23623;hi:22419;development:22032;pm:21597;ready:20987;hello:19330;quality:18800;message:18708;web:18701;team:18040;start:17527;design:17290;us:17130;see:16311;years:15068;time:14820;website:14405;best:14381;portfolio:13198;seo:12967;provide:12883;kindly:12600;wordpress:12134;regards:12020;private:11797;good:11533;requirement:11313;like:11293;would:11214;job:11175;expert:11156;sir:10514;requirements:10220;look:8863;complete:8825;done:8773;dear:8666;interested:8639;get:8604;company:8392;+:8363;services:8252;thank:8140,2510075,31542,79.5788155475,9.63254811117
Pakistan,38044,check:14525;please:13773;work:10632;pmb:9740;project:9443;pm:7694;thanks:7412;details:6934;hi:6919;start:6029;design:5851;see:4755;ready:4345;portfolio:3517;message:3236;let:3165;experience:3140;done:3117;web:3098;sir:3048;quality:3040;detail:2924;provide:2682;kindly:2584;logo:2566;hello:2435;private:2430;time:2379;get:2376;services:2373;us:2305;job:2262;read:2082;interested:2063;team:2010;give:1989;look:1969;professional:1969;development:1965;years:1949;best:1932;inbox:1838;wordpress:1793;website:1709;expert:1669;offer:1650;lets:1548;like:1496;would:1456;satisfaction:1437,416185,9419,44.185688502,9.60165582192
Bangladesh,25277,please:12432;check:10683;pmb:6823;project:6575;work:6031;pm:5789;details:5513;thanks:5112;start:4296;quality:3721;ready:3551;job:3313;expert:2634;see:2593;interested:2577;sir:2524;hi:2339;dear:2314;hello:2270;thank:2269;working:2150;design:2125;experience:2021;message:1943;service:1746;u:1742;years:1700;time:1684;provide:1667;best:1652;~:1591;give:1562;seo:1558;wordpress:1461;m:1441;website:1287;plz:1228;highly:1211;team:1209;good:1153;satisfy:1126;web:1121;satisfaction:1113;right:1100;look:1084;private:1072;read:1062;offer:1040;get:1018;also:1009,312362,7961,39.2365280744,9.66036986129
United States,22347,project:10527;please:9178;work:6645;design:6180;check:6117;get:5212;website:4459;experience:4266;done:4179;development:4173;web:4099;time:4024;quality:4003;details:3950;hello:3763;years:3691;working:3586;pm:3567;portfolio:3391;see:3382;right:3251;pmb:3226;thanks:3187;message:2861;us:2765;hi:2749;would:2722;look:2708;marketing:2700;business:2611;best:2510;know:2310;clients:2295;provide:2293;forward:2291;like:2163;thank:2146;company:2132;let:2131;services:2085;private:2017;also:1948;complete:1944;ready:1941;start:1916;site:1897;one:1896;deliver:1835;m:1755;php:1730,565346,12723,44.4349603081,9.73730044563
Vietnam,10615,please:5135;check:4253;project:2901;thanks:2781;pmb:2451;hi:1710;m:1579;work:1522;start:1509;let:1494;help:1406;pm:1404;web:1343;portfolio:1263;details:1250;read:1153;ready:1042;development:1041;best:1005;working:997;interested:965;hello:952;experience:928;inbox:906;done:871;expert:864;get:838;years:820;private:793;need:759;job:721;contact:709;would:670;much:632;regards:588;design:587;soon:580;jsc:519;pls:518;requirements:512;able:497;see:492;message:471;us:463;thank:459;detail:452;chance:444;many:431;reviews:429;profile:421,96380,3188,30.2321204517,9.69162960725
Romania,10009,please:5962;check:3755;details:3273;project:3136;seo:2919;pm:2534;experience:2099;hi:1973;message:1906;hello:1884;work:1869;pmb:1507;private:1503;view:1435;see:1432;help:1416;offer:1144;sure:1116;read:1106;thank:1079;m:1074;services:1031;interested:921;years:891;thanks:824;best:756;ready:731;google:705;expert:666;portfolio:666;hii:658;provide:637;increase:612;us:611;team:609;requirements:608;start:607;rankings:603;actual:596;deliver:579;looking:576;attached:566;design:554;great:536;guaranteed:518;board:508;find:494;industry:493;experts:490;keywords:481,115400,4139,27.8811307079,9.78399635628
United Kingdom,8089,please:2809;work:2632;project:2455;design:2297;experience:2083;hi:1798;check:1678;bid:1634;web:1483;years:1415;see:1403;would:1369;pm:1267;like:1238;hello:1109;website:1089;details:1082;uk:1065;get:1040;pmb:957;professional:941;time:937;quality:912;m:893;based:891;message:866;thanks:821;company:798;ll:791;seo:791;right:788;find:784;provide:776;also:745;hope:696;expert:695;portfolio:615;start:608;job:604;thank:597;d:579;help:568;good:567;websites:567;amount:565;+:560;tentative:551;business:539;specifications:539;discussed:533,155747,7889,19.7422994042,9.73416172007
Philippines,7231,development:2916;design:2343;hi:2283;company:2248;experience:2210;industry:1996;clients:1965;freshwebsites:1831;project:1767;job:1555;interested:1552;details:1307;please:1248;help:1176;services:1168;web:1140;high:1104;professional:1096;using:1096;portfolio:1095;knowledge:1069;business:1051;designs:1015;branding:1004;regards:1004;technology:999;across:993;businesses:990;become:989;performance:989;capabilities:988;functions:988;time:988;comprehensive:986;collaborates:985;combining:985;unparalleled:985;service:967;value:967;effective:962;expertise:959;expectations:955;goal:937;designers:936;work:934;dennis:931;check:929;system:918;warm:915;client:914,136521,4548,30.0178100264,9.65155844156
China,6594,check:3777;please:3225;wordpress:2767;pmb:2429;hi:1977;thanks:1229;project:1114;sir:1061;regards:1022;dear:1018;projects:893;site:876;pm:830;work:748;business:741;m:697;kindly:695;development:642;hello:605;design:584;best:573;job:566;message:559;see:516;website:504;interested:457;develop:439;private:404;good:395;help:361;sirplease:360;quality:359;read:359;deliver:356;hope:345;us:335;experience:334;p:320;posting:315;time:314;ready:305;details:298;company:291;start:287;developed:282;well:279;html:260;long:257;looking:255;box:244,71134,3150,22.5822222222,9.65330229358
Sri Lanka,4073,please:1427;work:1388;check:1241;pm:822;job:790;m:729;professional:551;project:551;start:544;hi:521;ready:490;thanks:454;done:445;experience:429;see:384;sir:378;well:377;looking:374;forward:351;best:339;design:335;thank:329;dear:321;hello:309;get:306;portfolio:297;years:297;message:288;like:286;pmb:283;cheers:277;web:277;graphic:276;greetings:264;individual:262;speaks:262;factory:261;details:249;let:249;time:245;interested:230;service:228;designer:207;designing:204;good:203;consider:198;provide:195;experienced:186;private:181;want:179,44885,3451,13.0063749638,9.63031069182
